ano;mes;ra;id_curso;vencimento;status_pagamento;valor_mensalidade;juros;valor_pago;dt_pagamento
2026;1;20260001;C005;2026-01-10;PAGO;1380.0;0.0;1380.0;2026-01-09
2026;2;20260001;C005;2026-02-10;PAGO;1380.0;0.0;1330.0;2026-02-10
2026;3;20260001;C005;2026-03-10;PAGO;1380.0;0.0;1380.0;2026-03-09
2026;4;20260001;C005;2026-04-10;PAGO;1380.0;0.0;1330.0;2026-04-09
2026;5;20260001;C005;2026-05-10;PAGO;1380.0;0.0;1380.0;2026-05-12
2026;6;20260001;C005;2026-06-10;PAGO;1380.0;0.0;1330.0;2026-06-09
2026;7;20260001;C005;2026-07-10;ABERTO;1380.0;;;
2026;8;20260001;C005;2026-08-10;PAGO;1380.0;0.0;1380.0;2026-08-12
2026;9;20260001;C005;2026-09-10;PAGO;1380.0;0.0;1280.0;2026-09-12
2026;10;20260001;C005;2026-10-10;PAGO;1380.0;0.0;1280.0;2026-10-11
2026;11;20260001;C005;2026-11-10;ABERTO;1380.0;;;
2026;12;20260001;C005;2026-12-10;PAGO;1380.0;0.0;1280.0;2026-12-13
2026;1;20260002;C006;2026-01-10;EM_ATRASO;1290.0;0.0;1290.0;2026-01-08
2026;2;20260002;C006;2026-02-10;PAGO;1290.0;0.0;1290.0;2026-02-08
2026;3;20260002;C006;2026-03-10;PAGO;1290.0;0.0;1190.0;2026-03-09
2026;4;20260002;C006;2026-04-10;PAGO;1290.0;0.0;1290.0;2026-04-12
2026;5;20260002;C006;2026-05-10;PAGO;1290.0;0.0;1240.0;2026-05-07
2026;6;20260002;C006;2026-06-10;EM_ATRASO;1290.0;0.0;1290.0;2026-06-08
2026;7;20260002;C006;2026-07-10;PAGO;1290.0;0.0;1290.0;2026-07-09
2026;8;20260002;C006;2026-08-10;PAGO;1290.0;0.0;1240.0;2026-08-07
2026;9;20260002;C006;2026-09-10;PAGO;1290.0;0.0;1240.0;2026-09-10
2026;10;20260002;C006;2026-10-10;PAGO;1290.0;0.0;1290.0;2026-10-09
2026;11;20260002;C006;2026-11-10;PAGO;1290.0;0.0;1290.0;2026-11-10
2026;12;20260002;C006;2026-12-10;ABERTO;1290.0;;;
2026;1;20260003;C005;2026-01-10;ABERTO;1380.0;;;
2026;2;20260003;C005;2026-02-10;PAGO;1380.0;0.0;1280.0;2026-02-09
2026;3;20260003;C005;2026-03-10;PAGO;1380.0;0.0;1330.0;2026-03-09
2026;4;20260003;C005;2026-04-10;ABERTO;1380.0;;;
2026;5;20260003;C005;2026-05-10;ABERTO;1380.0;;;
2026;6;20260003;C005;2026-06-10;PAGO;1380.0;0.0;1380.0;2026-06-07
2026;7;20260003;C005;2026-07-10;PAGO;1380.0;0.0;1330.0;2026-07-07
2026;8;20260003;C005;2026-08-10;ABERTO;1380.0;;;
2026;9;20260003;C005;2026-09-10;EM_ATRASO;1380.0;11.04;1291.04;2026-09-22
2026;10;20260003;C005;2026-10-10;PAGO;1380.0;0.0;1330.0;2026-10-12
2026;11;20260003;C005;2026-11-10;PAGO;1380.0;0.0;1380.0;2026-11-12
2026;12;20260003;C005;2026-12-10;ABERTO;1380.0;;;
2026;1;20260004;C010;2026-01-10;PAGO;1250.0;0.0;1250.0;2026-01-13
2026;2;20260004;C010;2026-02-10;EM_ATRASO;1250.0;2.5;1252.5;2026-02-13
2026;3;20260004;C010;2026-03-10;ABERTO;1250.0;;;
2026;4;20260004;C010;2026-04-10;EM_ATRASO;1250.0;5.0;1155.0;2026-04-16
2026;5;20260004;C010;2026-05-10;PAGO;1250.0;0.0;1150.0;2026-05-10
2026;6;20260004;C010;2026-06-10;PAGO;1250.0;0.0;1200.0;2026-06-08
2026;7;20260004;C010;2026-07-10;PAGO;1250.0;0.0;1200.0;2026-07-12
2026;8;20260004;C010;2026-08-10;ABERTO;1250.0;;;
2026;9;20260004;C010;2026-09-10;PAGO;1250.0;0.0;1250.0;2026-09-10
2026;10;20260004;C010;2026-10-10;EM_ATRASO;1250.0;8.33;1258.33;2026-10-20
2026;11;20260004;C010;2026-11-10;EM_ATRASO;1250.0;5.83;1205.83;2026-11-17
2026;12;20260004;C010;2026-12-10;EM_ATRASO;1250.0;4.17;1254.17;2026-12-15
2026;1;20260005;C005;2026-01-10;PAGO;1380.0;0.0;1380.0;2026-01-12
2026;2;20260005;C005;2026-02-10;PAGO;1380.0;0.0;1330.0;2026-02-07
2026;3;20260005;C005;2026-03-10;PAGO;1380.0;0.0;1280.0;2026-03-12
2026;4;20260005;C005;2026-04-10;PAGO;1380.0;0.0;1380.0;2026-04-10
2026;5;20260005;C005;2026-05-10;PAGO;1380.0;0.0;1330.0;2026-05-09
2026;6;20260005;C005;2026-06-10;PAGO;1380.0;0.0;1280.0;2026-06-10
2026;7;20260005;C005;2026-07-10;PAGO;1380.0;0.0;1330.0;2026-07-07
2026;8;20260005;C005;2026-08-10;PAGO;1380.0;0.0;1380.0;2026-08-09
2026;9;20260005;C005;2026-09-10;PAGO;1380.0;0.0;1380.0;2026-09-07
